"tipo";"id";"nombre";"archivo";"orientacion_recomendada";"estado"
"portada";"PORTADA";"Portada general";"public/fotos/portada.jpg";"vertical";"pendiente"
"ruta";"R01";"Ruta de la Décima";"public/fotos/rutas/ruta-de-la-decima.jpg";"vertical";"pendiente"
"ruta";"R02";"Ruta de las Esculturas";"public/fotos/rutas/ruta-de-las-esculturas.jpg";"vertical";"pendiente"
"ruta";"R03";"Áreas emblemáticas de Fuencaliente";"public/fotos/rutas/areas-emblematicas.jpg";"vertical";"pendiente"
"ruta";"R04";"Ruta de los Volcanes";"public/fotos/rutas/ruta-de-los-volcanes.jpg";"vertical";"pendiente"
"ruta";"R05";"Ruta de los Miradores";"public/fotos/rutas/ruta-de-los-miradores.jpg";"vertical";"pendiente"
"ruta";"R06";"Paseo de la Transvulcania";"public/fotos/rutas/paseo-de-la-transvulcania.jpg";"vertical";"pendiente"
"ruta";"R07";"Senderos de Fuencaliente";"public/fotos/rutas/senderos-de-fuencaliente.jpg";"vertical";"pendiente"
"ruta";"R08";"Áreas recreativas";"public/fotos/rutas/areas-recreativas.jpg";"vertical";"pendiente"
"ruta";"R09";"Playas";"public/fotos/rutas/playas.jpg";"vertical";"pendiente"
"ruta";"R10";"Puntos de interés cultural";"public/fotos/rutas/puntos-de-interes-cultural.jpg";"vertical";"pendiente"
"ruta";"R11";"Ruta de las Bodegas";"public/fotos/rutas/ruta-de-las-bodegas.jpg";"vertical";"pendiente"
"hito";"H001";"Mirador de Los Canarios";"public/fotos/hitos/mirador-los-canarios.jpg";"vertical";"pendiente"
"hito";"H002";"Punto de Información Turística de Plaza Minerva";"public/fotos/hitos/informacion-turistica-plaza-minerva.jpg";"vertical";"pendiente"
"hito";"H003";"Volcán de San Antonio";"public/fotos/hitos/volcan-san-antonio.jpg";"vertical";"pendiente"
"hito";"H004";"Mirador de Los Jablitos";"public/fotos/hitos/mirador-los-jablitos.jpg";"vertical";"pendiente"
"hito";"H005";"Parque Fuente de Los Quemados";"public/fotos/hitos/parque-fuente-los-quemados.jpg";"vertical";"pendiente"
"hito";"H006";"Mirador de Los Espigones";"public/fotos/hitos/mirador-los-espigones.jpg";"vertical";"pendiente"
"hito";"H007";"Mirador de Las Calderetitas";"public/fotos/hitos/mirador-las-calderetitas.jpg";"vertical";"pendiente"
"hito";"H008";"Mirador de La Zamora";"public/fotos/hitos/mirador-la-zamora.jpg";"vertical";"pendiente"
"hito";"H009";"Mirador de El Faro";"public/fotos/hitos/mirador-el-faro.jpg";"vertical";"pendiente"
"hito";"H010";"Mirador de Puntalarga";"public/fotos/hitos/mirador-puntalarga.jpg";"vertical";"pendiente"
"hito";"H011";"Mirador de Las Indias";"public/fotos/hitos/mirador-las-indias.jpg";"vertical";"pendiente"
"hito";"H012";"El Caminante";"public/fotos/hitos/el-caminante.jpg";"vertical";"pendiente"
"hito";"H013";"Monumento al Viticultor";"public/fotos/hitos/monumento-al-viticultor.jpg";"vertical";"pendiente"
"hito";"H014";"Águila del parque de La Fajana";"public/fotos/hitos/aguila-parque-la-fajana.jpg";"vertical";"pendiente"
"hito";"H015";"Escultura dedicada a las costas de Puntalarga";"public/fotos/hitos/escultura-costas-puntalarga.jpg";"vertical";"pendiente"
"hito";"H016";"Paseo de la Fama de la Transvulcania";"public/fotos/hitos/paseo-fama-transvulcania.jpg";"vertical";"pendiente"
"hito";"H017";"Los Canarios";"public/fotos/hitos/los-canarios.jpg";"vertical";"pendiente"
"hito";"H018";"Faros de Fuencaliente";"public/fotos/hitos/faros-fuencaliente.jpg";"vertical";"pendiente"
"hito";"H019";"Salinas de Fuencaliente";"public/fotos/hitos/salinas-fuencaliente.jpg";"vertical";"pendiente"
"hito";"H021";"Volcán Teneguía";"public/fotos/hitos/volcan-teneguia.jpg";"vertical";"pendiente"
"hito";"H022";"Roque Teneguía";"public/fotos/hitos/roque-teneguia.jpg";"vertical";"pendiente"
"hito";"H023";"Playa de Echentive";"public/fotos/hitos/playa-echentive.jpg";"vertical";"pendiente"
"hito";"H024";"Pino de la Virgen";"public/fotos/hitos/pino-de-la-virgen.jpg";"vertical";"pendiente"
"hito";"H025";"Volcán de Martín";"public/fotos/hitos/volcan-martin.jpg";"vertical";"pendiente"
"hito";"H026";"Caldera del Búcaro";"public/fotos/hitos/caldera-bucaro.jpg";"vertical";"pendiente"
"hito";"H027";"Centro de Visitantes del Volcán de San Antonio";"public/fotos/hitos/centro-visitantes-volcan-san-antonio.jpg";"vertical";"pendiente"
"hito";"H028";"Mirador de La Fajana";"public/fotos/hitos/mirador-la-fajana.jpg";"vertical";"pendiente"
"hito";"H029";"Mirador de El Charco";"public/fotos/hitos/mirador-el-charco.jpg";"vertical";"pendiente"
"hito";"H030";"T.1 Los Canarios - El Charco";"public/fotos/hitos/t1-los-canarios-el-charco.jpg";"vertical";"pendiente"
"hito";"H031";"T.2 Los Canarios - La Zamora";"public/fotos/hitos/t2-los-canarios-la-zamora.jpg";"vertical";"pendiente"
"hito";"H032";"T.3 Los Canarios - Puntalarga";"public/fotos/hitos/t3-los-canarios-puntalarga.jpg";"vertical";"pendiente"
"hito";"H033";"T.4 Los Canarios - El Faro";"public/fotos/hitos/t4-los-canarios-el-faro.jpg";"vertical";"pendiente"
"hito";"H034";"T.5 Los Canarios - El Puertito";"public/fotos/hitos/t5-los-canarios-el-puertito.jpg";"vertical";"pendiente"
"hito";"H035";"GR-131 Ruta de los Volcanes";"public/fotos/hitos/gr131-ruta-volcanes.jpg";"vertical";"pendiente"
"hito";"H036";"Área recreativa Fuente de Los Roques";"public/fotos/hitos/area-recreativa-fuente-los-roques.jpg";"vertical";"pendiente"
"hito";"H037";"Pino de Santo Domingo";"public/fotos/hitos/pino-santo-domingo.jpg";"vertical";"pendiente"
"hito";"H038";"Área de descanso de Los Canarios";"public/fotos/hitos/area-descanso-los-canarios.jpg";"vertical";"pendiente"
"hito";"H039";"El Pinalejo";"public/fotos/hitos/el-pinalejo.jpg";"vertical";"pendiente"
"hito";"H040";"Área recreativa de Puntalarga";"public/fotos/hitos/area-recreativa-puntalarga.jpg";"vertical";"pendiente"
"hito";"H041";"Área recreativa Llano del Tanque";"public/fotos/hitos/area-recreativa-llano-tanque.jpg";"vertical";"pendiente"
"hito";"H042";"Playa de Las Cabras";"public/fotos/hitos/playa-las-cabras.jpg";"vertical";"pendiente"
"hito";"H043";"Puntalarga";"public/fotos/hitos/playa-puntalarga.jpg";"vertical";"pendiente"
"hito";"H044";"El Puertito";"public/fotos/hitos/el-puertito.jpg";"vertical";"pendiente"
"hito";"H045";"La Zamora";"public/fotos/hitos/playa-la-zamora.jpg";"vertical";"pendiente"
"hito";"H046";"Iglesia de Santa Cecilia";"public/fotos/hitos/iglesia-santa-cecilia.jpg";"vertical";"pendiente"
"hito";"H047";"Iglesia Nuestra Señora Madre de la Iglesia";"public/fotos/hitos/iglesia-nuestra-senora-madre.jpg";"vertical";"pendiente"
"hito";"H048";"Iglesia de San Antonio Abad";"public/fotos/hitos/iglesia-san-antonio-abad.jpg";"vertical";"pendiente"
"hito";"H049";"Centro Cultural de Los Canarios";"public/fotos/hitos/centro-cultural-los-canarios.jpg";"vertical";"pendiente"
"hito";"H050";"Centro Cultural de Las Indias";"public/fotos/hitos/centro-cultural-las-indias.jpg";"vertical";"pendiente"
"hito";"H051";"Centro Social de Los Quemados";"public/fotos/hitos/centro-social-los-quemados.jpg";"vertical";"pendiente"
"hito";"H052";"Centro de Interpretación de la Reserva Marina";"public/fotos/hitos/centro-interpretacion-reserva-marina.jpg";"vertical";"pendiente"
"hito";"H053";"Centro de Artesanía Artesol";"public/fotos/hitos/centro-artesania-artesol.jpg";"vertical";"pendiente"
"hito";"H054";"D.O.P. Vinos La Palma";"public/fotos/hitos/dop-vinos-la-palma.jpg";"vertical";"pendiente"
"hito";"H055";"Bodegas Carballo";"public/fotos/hitos/bodegas-carballo.jpg";"vertical";"pendiente"
"hito";"H056";"Bodegas Teneguía";"public/fotos/hitos/bodegas-teneguia.jpg";"vertical";"pendiente"
"hito";"H057";"Bodega Victoria Torres";"public/fotos/hitos/bodega-victoria-torres.jpg";"vertical";"pendiente"
"hito";"H058";"Mil7ochentaynueve";"public/fotos/hitos/mil7ochentaynueve.jpg";"vertical";"pendiente"
"hito";"H059";"Bodega La Casa del Volcán";"public/fotos/hitos/bodega-casa-del-volcan.jpg";"vertical";"pendiente"
"hito";"H060";"Fuente del Vino";"public/fotos/hitos/fuente-del-vino.jpg";"vertical";"pendiente"
"hito";"H061";"Lagar tradicional de tea";"public/fotos/hitos/lagar-tradicional-tea.jpg";"vertical";"pendiente"
"hito";"H062";"Llanos Negros";"public/fotos/hitos/llanos-negros.jpg";"vertical";"pendiente"
"hito";"H063";"Las Machuqueras";"public/fotos/hitos/las-machuqueras.jpg";"vertical";"pendiente"
"hito";"H064";"Escultura de los Caballos Fuscos";"public/fotos/hitos/escultura-caballos-fuscos.jpg";"vertical";"pendiente"
"hito";"H065";"Transvulcania 2009";"public/fotos/hitos/transvulcania-2009.jpg";"vertical";"pendiente"
"hito";"H066";"Transvulcania 2010";"public/fotos/hitos/transvulcania-2010.jpg";"vertical";"pendiente"
"hito";"H067";"Transvulcania 2011";"public/fotos/hitos/transvulcania-2011.jpg";"vertical";"pendiente"
"hito";"H068";"Transvulcania 2012";"public/fotos/hitos/transvulcania-2012.jpg";"vertical";"pendiente"
"hito";"H069";"Transvulcania 2013";"public/fotos/hitos/transvulcania-2013.jpg";"vertical";"pendiente"
"hito";"H070";"Transvulcania 2014";"public/fotos/hitos/transvulcania-2014.jpg";"vertical";"pendiente"
